tag,method,eta,cov_all,width,inf_frac,cell_sd,cell_range,cell_frac_in,n_eligible_cells,domain,prep,scenario,n_all,D_km,spacing_km
EastChina|detrend|interp,sLSCP,8phi,0.9640599001663893,12.955280591079479,0.2615640599001664,0.027630344964863534,0.09999999999999998,1.0,35,EastChina,detrend,interp,3007,4125.7,75.24
EastChina|detrend|interp,sLSCP,16phi,0.9337770382695507,9.779180997008671,0.0026622296173044926,0.04336848789754436,0.15384615384615385,1.0,35,EastChina,detrend,interp,3007,4125.7,75.24
EastChina|detrend|interp,sLSCP,inf,0.9141430948419301,8.90823114568281,0.0,0.07701640156689861,0.3058823529411765,0.8285714285714286,35,EastChina,detrend,interp,3007,4125.7,75.24
EastChina|raw|extrap,GSCP,equal,0.8972397738609911,24.83023531714842,0.0,0.13148897535313714,0.5875,0.8857142857142857,35,EastChina,raw,extrap,3007,4125.7,75.24
EastChina|raw|extrap,sLSCP,0.5phi,0.913867642168274,27.01746441322255,0.005320917858330562,0.1226327205892625,0.525,0.8857142857142857,35,EastChina,raw,extrap,3007,4125.7,75.24
EastChina|raw|extrap,sLSCP,1phi,0.9082141669437978,26.10675132517169,0.0,0.13078022992328853,0.575,0.8857142857142857,35,EastChina,raw,extrap,3007,4125.7,75.24
EastChina|raw|extrap,sLSCP,2phi,0.9005653475224477,25.337009094158145,0.0,0.1303606846580211,0.575,0.8857142857142857,35,EastChina,raw,extrap,3007,4125.7,75.24
EastChina|raw|extrap,sLSCP,4phi,0.898237445959428,24.95252009082472,0.0,0.1315893279447031,0.5875,0.8857142857142857,35,EastChina,raw,extrap,3007,4125.7,75.24
EastChina|raw|extrap,sLSCP,8phi,0.8975723312271366,24.8517780635048,0.0,0.13144740602433205,0.5875,0.8857142857142857,35,EastChina,raw,extrap,3007,4125.7,75.24
EastChina|raw|extrap,sLSCP,16phi,0.8972397738609911,24.836884829878745,0.0,0.13148897535313714,0.5875,0.8857142857142857,35,EastChina,raw,extrap,3007,4125.7,75.24
EastChina|raw|extrap,sLSCP,inf,0.8972397738609911,24.836884829878745,0.0,0.13148897535313714,0.5875,0.8857142857142857,35,EastChina,raw,extrap,3007,4125.7,75.24
EastChina|raw|interp,GSCP,equal,0.9168053244592346,10.215690030927584,0.0,0.07719966498119553,0.2705882352941177,0.8857142857142857,35,EastChina,raw,interp,3007,4125.7,75.24
EastChina|raw|interp,sLSCP,0.5phi,0.9254575707154742,10.764106091574746,0.0,0.05794915594499658,0.202020202020202,0.9714285714285714,35,EastChina,raw,interp,3007,4125.7,75.24
EastChina|raw|interp,sLSCP,1phi,0.924459234608985,10.732432987728954,0.0,0.06823538993321568,0.23529411764705888,0.9428571428571428,35,EastChina,raw,interp,3007,4125.7,75.24
EastChina|raw|interp,sLSCP,2phi,0.9194675540765391,10.359963146511742,0.0,0.07469437284052688,0.2705882352941177,0.8857142857142857,35,EastChina,raw,interp,3007,4125.7,75.24
EastChina|raw|interp,sLSCP,4phi,0.9174708818635607,10.234120428836377,0.0,0.07650493450994372,0.2705882352941177,0.8857142857142857,35,EastChina,raw,interp,3007,4125.7,75.24
EastChina|raw|interp,sLSCP,8phi,0.9168053244592346,10.215803034414048,0.0,0.07719966498119553,0.2705882352941177,0.8857142857142857,35,EastChina,raw,interp,3007,4125.7,75.24
EastChina|raw|interp,sLSCP,16phi,0.9168053244592346,10.215690030927584,0.0,0.07719966498119553,0.2705882352941177,0.8857142857142857,35,EastChina,raw,interp,3007,4125.7,75.24
EastChina|raw|interp,sLSCP,inf,0.9168053244592346,10.215690030927584,0.0,0.07719966498119553,0.2705882352941177,0.8857142857142857,35,EastChina,raw,interp,3007,4125.7,75.24
Nationwide|detrend|extrap,GSCP,equal,0.8979902557856273,8.234606736478643,0.0,0.12316289160454225,0.44999999999999996,0.7352941176470589,34,Nationwide,detrend,extrap,3284,6857.4,119.66
Nationwide|detrend|extrap,sLSCP,0.5phi,0.9829476248477467,9.96978752730991,0.6336784409257004,0.05604857455314789,0.2875,0.9705882352941176,34,Nationwide,detrend,extrap,3284,6857.4,119.66
Nationwide|detrend|extrap,sLSCP,1phi,0.9674177831912302,9.675137029290687,0.4174786845310597,0.07675758378244453,0.30000000000000004,0.9117647058823529,34,Nationwide,detrend,extrap,3284,6857.4,119.66
