domain,axis,setting,prep,n_actual,mean_spacing_km,D_km,phi_km,ratio_phi_domain,sigma2,tau2,sigma2_frac,logml,converged,bound_hit,cond,secs
MidYangtze,offset,off0.33,detrend,2183,37.28,1741.9005143245192,20.28594375449709,0.011645868169666193,11.43573772979034,1.6197567101758284e-06,1.0,-5543.693766069155,True,False,3.006390714269181,30.47
MidYangtze,offset,off0.67,detrend,2161,37.47,1741.9005143245192,19.18926217167897,0.011016279066385288,11.094148954350322,2.1900112123030246e-06,1.0,-5483.148832921892,True,False,2.807942470074539,33.8
EastChina,none,raw,raw,2312,85.8,4125.690742465174,1343.5758489725065,0.3256608245361832,421.35014984260505,0.07623913464436666,1.0,-6368.469227566675,True,False,196.22688809500445,22.84
EastChina,window,win0.5,detrend,2312,85.8,4125.690742465174,18.480475270324874,0.0044793651351779365,2.6281523917724656,1.8394191349102111,0.588,-4995.903751735242,True,False,1.404822903156354,38.27
EastChina,window,win1.0,detrend,2312,85.8,4125.690742465174,18.791209588519145,0.0045546820548384255,8.575222073671059,0.14812890455343225,0.983,-5735.529547800706,True,False,3.0626119925061412,62.88
EastChina,window,win2.0,detrend,2312,85.8,4125.690742465174,51.38887160849625,0.01245582250738224,19.30297909727596,1.0753769575256462e-05,1.0,-6234.806124178123,True,False,8.239815115508996,48.58
EastChina,offset,off0.00,detrend,2312,85.8,4125.690742465174,18.791209588519145,0.0045546820548384255,8.575222073671059,0.14812890455343225,0.983,-5735.529547800706,True,False,3.0626119925061412,97.84
EastChina,offset,off0.33,detrend,2313,85.78,4125.690742465174,17.05266334472733,0.004133286862538334,8.167697189630566,1.0702827233279087e-05,1.0,-5671.5542249826085,True,False,2.476674022462586,95.08
EastChina,offset,off0.67,detrend,2308,85.88,4125.690742465174,17.76720815266475,0.004306480844477579,6.571874416701031,1.245543753298136,0.841,-5618.597016077391,True,False,1.780688489295694,52.63
Nationwide,none,raw,raw,2575,135.14,6857.365159276277,2231.6031946842,0.32543158237175196,598.2536814120216,7.262665298442261e-12,1.0,-7338.213317779262,True,False,295.07047195477355,34.17
Nationwide,window,win0.5,detrend,2575,135.14,6857.365159276277,29.069168122677024,0.0042391162563880395,2.0900114708220836,0.7473395745301387,0.737,-4947.348750592014,True,False,1.8200544258467368,61.2
Nationwide,window,win1.0,detrend,2575,135.14,6857.365159276277,24.911346796462293,0.0036327869696079337,5.9365925626268305,4.668223595149845e-06,1.0,-5874.58067100508,True,False,3.4792410841263397,115.13
Nationwide,window,win2.0,detrend,2575,135.14,6857.365159276277,58.98571490929419,0.008601804561844204,16.804451753688454,8.023854660272345e-07,1.0,-6896.98374807346,True,False,7.8889306576341784,84.92
Nationwide,offset,off0.00,detrend,2575,135.14,6857.365159276277,24.911346796462293,0.0036327869696079337,5.9365925626268305,4.668223595149845e-06,1.0,-5874.58067100508,True,False,3.4792410841263397,173.73
Nationwide,offset,off0.33,detrend,2574,135.16,6857.365159276277,20.515210347627615,0.002991704520777304,5.979532767793568,0.4423419984657715,0.931,-6006.3112422853255,True,False,2.287253657516682,98.46
Nationwide,offset,off0.67,detrend,2567,135.35,6857.365159276277,810.9362288013149,0.11825769956326793,0.33439079914528175,6.4493717857180926,0.049,-6066.316483241408,True,False,1.0304642017729277,58.27
